title,sell_price,orig_price,rating,num_ratings_reviews
LG 215 L Direct Cool Single Door 5 Star Refrigerator with Base Drawer  with Smart Inverter Moist 'N' F...,"₹22,990","₹29,099",4.5,91 Ratings & 16 Reviews
Haier 256 l Frost Free Double Door Bottom Mount 3 Star Convertible Refrigerator,"₹26,990","₹31,050",4.4,"2,818 Ratings & 371 Reviews"
SAMSUNG 415 L Frost Free Double Door 3 Star Convertible Refrigerator,"₹47,990","₹54,990",4.4,"1,947 Ratings & 223 Reviews"
SAMSUNG 192 L Direct Cool Single Door 3 Star Refrigerator,"₹15,190","₹17,990",4.4,"5,115 Ratings & 457 Reviews"
LG 190 L Direct Cool Single Door 5 Star Refrigerator with Base Drawer,"₹17,790","₹20,990",4.4,"6,955 Ratings & 723 Reviews"
SAMSUNG 324 L Frost Free Double Door 3 Star Convertible Refrigerator,"₹34,890","₹41,990",4.3,"4,316 Ratings & 456 Reviews"
realme TechLife 280 L Frost Free Double Door 3 Star Refrigerator,"₹22,490","₹35,690",4.3,589 Ratings & 97 Reviews
Godrej 236 L Frost Free Double Door 2 Star Refrigerator,"₹20,990","₹21,900",4.3,"4,410 Ratings & 518 Reviews"
SAMSUNG 255 L Direct Cool Single Door 3 Star Refrigerator with Base Drawer,"₹20,590","₹25,990",4.3,"3,747 Ratings & 489 Reviews"
SAMSUNG 253 L Frost Free Double Door 2 Star Refrigerator with Base Drawer,"₹24,490","₹29,990",4.4,"2,858 Ratings & 333 Reviews"
,,,,
,,,,
LG 360 L Frost Free Double Door 2 Star Convertible Refrigerator  with Smart Inverter With Multi Air Fl...,"₹39,990","₹53,899",4.3,70 Ratings & 7 Reviews
SAMSUNG 192 L Direct Cool Single Door 1 Star Refrigerator,"₹12,890","₹14,990",4.3,"5,301 Ratings & 481 Reviews"
MarQ by Flipkart 190 L Direct Cool Single Door 3 Star Refrigerator,"₹12,490","₹15,990",4.1,"1,367 Ratings & 186 Reviews"
