title,sell_price,orig_price,rating,num_ratings_reviews
Adsun Smart Series 60 cm (24 inch) HD Ready LED Smart Android Based TV,"₹6,649","₹18,999",3.8,"12,551 Ratings & 1,803 Reviews"
Adsun Frameless 80 cm (32 inch) HD Ready LED Smart Android Based TV,"₹8,549","₹29,999",3.8,"12,551 Ratings & 1,803 Reviews"
Thomson OATHPRO Series 139 cm (55 inch) Ultra HD (4K) LED Smart Android TV with Dolby Digital Plus & D...,"₹32,999","₹49,999",4.5,"27,566 Ratings & 7,169 Reviews"
SAMSUNG Crystal 4K Pro 125 cm (50 inch) Ultra HD (4K) LED Smart Tizen TV with Voice Search,"₹43,990","₹71,400",4.4,"13,388 Ratings & 1,453 Reviews"
Thomson 9A Series 98 cm (40 inch) Full HD LED Smart Android TV,"₹16,999","₹21,499",4.3,"84,253 Ratings & 17,721 Reviews"
LG Nano Cell 108 cm (43 inch) Ultra HD (4K) LED Smart WebOS TV 2022 Edition,"₹38,990","₹61,990",4.4,576 Ratings & 85 Reviews
Adsun 60 cm (24 inch) HD Ready LED TV,"₹5,889","₹12,999",3.8,"12,551 Ratings & 1,803 Reviews"
Adsun 98.9 cm (39 inch) HD Ready LED Smart Android Based TV,"₹12,349","₹22,999",3.8,"12,551 Ratings & 1,803 Reviews"
Mi 5X 138.8 cm (55 inch) Ultra HD (4K) LED Smart Android TV with Dolby Vision & 40W Dolby Atmos,"₹46,999","₹69,999",4.3,"48,263 Ratings & 4,414 Reviews"
TCL S5200 108 cm (43 inch) Full HD LED Smart Android TV,"₹21,990","₹47,990",4.4,62 Ratings & 12 Reviews
Adsun 80 cm (32 inch) HD Ready LED TV,"₹7,599","₹16,999",3.8,"12,551 Ratings & 1,803 Reviews"
"Dyanora 60 cm (24 inch) HD Ready LED TV with Noise Reduction, Cinema Zoom, Powerful Audio Box Speakers","₹5,936","₹10,999",4.1,"3,188 Ratings & 421 Reviews"
KODAK 60 cm (24 inch) HD Ready LED TV,"₹6,999","₹10,499",4,"9,660 Ratings & 1,119 Reviews"
Thomson OATHPRO Series 126 cm (50 inch) Ultra HD (4K) LED Smart Android TV with Dolby Digital Plus & D...,"₹26,999","₹40,999",4.5,"27,566 Ratings & 7,169 Reviews"
BeethoSOL 60 cm (24 inch) HD Ready LED TV,"₹5,699","₹15,000",4,139 Ratings & 16 Reviews
T-Series 80 cm (32 inch) HD Ready LED Smart Android TV,"₹10,990","₹18,990",,
Dyanora Sigma 108 cm (43 inch) Full HD LED Smart Linux TV with 40 Watt Box Speakers & Bezel-Less Desig...,"₹14,999","₹29,999",4.2,16 Ratings & 3 Reviews
"Dyanora 109 cm (43 inch) Full HD LED Smart Android TV with Noise Reduction, Android 9.0, Google Voice ...","₹16,649","₹32,999",4.1,"3,188 Ratings & 421 Reviews"
Hisense E4G Series 80 cm (32 inch) HD Ready LED Smart Android TV with DTS Virtual X,"₹11,999","₹24,990",4.2,677 Ratings & 125 Reviews
Hyundai 126 cm (50 inch) Ultra HD (4K) LED Smart WebOS TV,"₹30,990","₹77,990",4,17 Ratings & 9 Reviews
"Dyanora 60 cm (24 inch) HD Ready LED Smart Android Based TV with Noise Reduction, Android 9.0, (1GB RA...","₹6,999","₹12,999",4.1,"3,188 Ratings & 421 Reviews"
"Dyanora 108 cm (43 inch) Full HD LED Smart Android Based TV with Noise Reduction, Android 9.0, Google ...","₹15,999","₹32,999",4.1,"3,188 Ratings & 421 Reviews"
MOTOROLA Revou 2 80 cm (32 inch) HD Ready LED Smart Android TV,"₹14,999","₹20,000",4.2,"1,474 Ratings & 228 Reviews"
